strike,expiration,days_to_expiry,last,bid,ask,mid_price,volume,open_interest,delta,gamma,theta,vega,implied_volatility,moneyness,spread_pct
100.0,2026-06-18,303,134.5,133.9,134.5,134.2,1,2307,1.0,0.0,-0.0114,0.0,0.0198,1.25,0.4471
60.0,2027-01-15,514,173.49,172.55,175.6,174.075,1,111,1.0,0.0,-0.0067,0.0,0.0198,0.75,1.7521
50.0,2027-12-17,850,183.25,181.5,186.5,184.0,2,155,1.0,0.0,-0.0054,0.0,0.0198,0.625,2.7174
165.0,2025-09-26,38,66.98,65.9,67.35,66.625,4,1,1.0,0.0,-0.0195,0.0,0.0198,2.0625,2.1764
75.0,2025-09-19,31,156.67,155.85,156.45,156.15,22,227,1.0,0.0,-0.0089,0.0,0.0198,0.9375,0.3842
80.0,2025-09-19,31,151.81,150.75,151.6,151.175,2,26,1.0,0.0,-0.0094,0.0,0.0198,1.0,0.5623
175.0,2025-09-26,38,57.51,55.55,57.35,56.45,4,0,1.0,0.0,-0.0207,0.0,0.0198,2.1875,3.1887
110.0,2026-06-18,303,124.5,123.85,125.1,124.475,1,189,1.0,0.0,-0.0126,0.0,0.0198,1.375,1.0042
75.0,2025-12-19,122,157.62,156.4,157.45,156.925,20,220,1.0,0.0,-0.0088,0.0,0.0198,0.9375,0.6691
130.0,2025-09-19,31,101.9,100.85,101.8,101.325,1,82,1.0,0.0,-0.0154,0.0,0.0198,1.625,0.9376
55.0,2027-12-17,850,179.47,177.0,181.75,179.375,1,291,1.0,0.0,-0.0059,0.0,0.0198,0.6875,2.6481
105.0,2027-01-15,514,132.04,130.95,132.75,131.85,2,63,1.0,0.0,-0.0117,0.0,0.0198,1.3125,1.3652
100.0,2025-12-19,122,133.03,131.9,132.75,132.325,20,2344,1.0,0.0,-0.0117,0.0,0.0198,1.25,0.6424
120.0,2026-12-18,486,118.0,117.05,118.1,117.575,14,1201,1.0,0.0,-0.0134,0.0,0.0198,1.5,0.893
60.0,2026-12-18,486,174.75,172.1,175.2,173.65,10,294,1.0,0.0,-0.0067,0.0,0.0198,0.75,1.7852
90.0,2026-03-20,213,143.37,142.65,143.6,143.125,20,111,1.0,0.0,-0.0104,0.0,0.0198,1.125,0.6638
125.0,2025-09-26,38,106.69,105.85,106.95,106.4,1,3,1.0,0.0,-0.0148,0.0,0.0198,1.5625,1.0338
170.0,2025-08-22,3,61.05,60.55,61.15,60.85,6,113,1.0,0.0,-0.0202,0.0,0.0198,2.125,0.986
65.0,2026-06-18,303,169.1,167.3,168.85,168.075,15,104,1.0,0.0,-0.0074,0.0,0.0198,0.8125,0.9222
75.0,2026-06-18,303,159.25,157.7,158.85,158.275,2,397,1.0,0.0,-0.0086,0.0,0.0198,0.9375,0.7266
95.0,2026-06-18,303,138.78,138.2,139.85,139.025,1,301,1.0,0.0,-0.0109,0.0,0.0198,1.1875,1.1868
60.0,2027-12-17,850,174.92,172.5,177.1,174.8,1,213,1.0,0.0,-0.0064,0.0,0.0198,0.75,2.6316
130.0,2025-12-19,122,102.99,102.45,103.1,102.775,2,2444,0.9996,0.0,-0.0154,0.002,0.3124,1.625,0.6324
5.0,2026-06-18,303,227.34,225.25,227.05,226.15,1,2,0.9995,0.0,-0.0017,0.004,1.6978,0.0625,0.7959
5.0,2025-09-19,31,226.43,225.7,226.3,226.0,43,23,0.9994,0.0,-0.0121,0.0014,5.2489,0.0625,0.2655
25.0,2025-09-19,31,207.56,205.35,206.75,206.05,1,0,0.999,0.0,-0.013,0.0023,2.8099,0.3125,0.6794
100.0,2025-09-19,31,131.45,131.1,131.55,131.325,2,1046,0.9978,0.0001,-0.0195,0.0047,1.0539,1.25,0.3427
140.0,2025-09-19,31,92.15,91.15,91.75,91.45,33,1069,0.9976,0.0002,-0.0215,0.0051,0.6246,1.75,0.6561
110.0,2025-08-22,3,122.39,120.6,121.4,121.0,1,14,0.9972,0.0001,-0.0824,0.0021,2.6929,1.375,0.6612
160.0,2025-08-22,3,71.7,70.55,71.45,71.0,1,11,0.9967,0.0003,-0.0592,0.0024,1.327,2.0,1.2676
130.0,2027-12-17,850,113.95,111.65,115.25,113.45,10,319,0.996,0.0002,-0.0143,0.0421,0.1758,1.625,3.1732
140.0,2025-12-19,122,93.52,92.65,93.35,93.0,7,1587,0.9957,0.0003,-0.0187,0.017,0.3515,1.75,0.7527
120.0,2026-01-16,150,114.45,112.7,113.55,113.125,1,828,0.9949,0.0002,-0.0169,0.0217,0.4295,1.5,0.7514
120.0,2025-09-19,31,111.55,111.2,111.7,111.45,2,1245,0.9948,0.0002,-0.0288,0.0103,0.9173,1.5,0.4486
145.0,2025-09-26,38,86.5,86.15,87.15,86.65,1,3,0.9946,0.0004,-0.0257,0.0116,0.5856,1.8125,1.1541
175.0,2025-08-29,10,57.89,55.75,56.6,56.175,4,12,0.9946,0.0006,-0.0389,0.0062,0.6441,2.1875,1.5131
