Option_Type,Actual_Delta,Predicted_Delta,Absolute_Error,Squared_Error
call,0.64178,0.6682611703872681,0.02648117038726805,0.0007012523850795223
call,0.73397,0.8381011486053467,0.10413114860534667,0.010843296109868792
call,0.88551,0.9199339151382446,0.03442391513824461,0.0011850059334450663
call,0.19983,0.2337971180677414,0.033967118067741386,0.0011537651098278833
call,0.4173,0.4323175847530365,0.015017584753036495,0.0002255278518146342
call,0.99081,1.0,0.009190000000000031,8.445610000000058e-05
call,0.06413,0.08179131150245667,0.01766131150245666,0.00031192192398680785
call,0.64252,0.5544195771217346,0.08810042287826536,0.007761684511329183
call,0.50924,0.5353495478630066,0.026109547863006566,0.0006817084896106307
call,0.54706,0.5183223485946655,0.028737651405334463,0.0008258526082945218
call,0.416,0.448140949010849,0.03214094901084902,0.0010330406033179965
call,0.45975,0.5053534507751465,0.04560345077514649,0.002079674722601209
call,0.15799,0.2238367646932602,0.0658467646932602,0.0043357964205695786
call,0.97859,0.9990749359130859,0.020484935913085978,0.0004196325993632396
call,0.41756,0.416477769613266,0.0010822303867339955,1.1712226099704135e-06
call,0.5496,0.524074912071228,0.02552508792877195,0.0006515301137715395
call,0.49052,0.45273107290267944,0.03778892709732057,0.0014280030111666086
call,0.6443,0.6530389785766602,0.008738978576660172,7.636974656332546e-05
call,0.40348,0.4135637581348419,0.010083758134841914,0.00010168217812199047
call,0.55454,0.5150310397148132,0.0395089602851868,0.0015609579428164679
call,0.86406,0.9680820107460022,0.10402201074600215,0.010820578719641386
call,0.99715,1.0,0.002850000000000019,8.122500000000109e-06
call,0.84165,0.8850145936012268,0.0433645936012268,0.0018804879781995601
call,0.97316,0.9983023405075073,0.0251423405075073,0.0006321372861954424
call,0.86976,0.9909602403640747,0.12120024036407473,0.01468949826430949
call,0.0024,0.015841761603951454,0.013441761603951455,0.0001806809550174636
call,0.13506,0.1768772304058075,0.04181723040580748,0.0017486807588123897
call,0.63224,0.6789699792861938,0.04672997928619382,0.002183690964088104
call,0.97366,1.0,0.02634000000000003,0.0006937956000000016
call,0.45707,0.4098111391067505,0.04725886089324949,0.0022333999329275057
call,0.97863,0.9996705055236816,0.02104050552368164,0.0004427028726920776
call,0.12666,0.16002961993217468,0.03336961993217469,0.0011135315344177903
