Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Event Type
2025-05-01 16:30:00-04:00,1.63,1.65,1.41,Earnings
2025-02-27 12:00:00-05:00,,,,Meeting
2025-01-30 16:31:00-05:00,2.35,2.4,2.15,Earnings
2024-10-31 16:31:00-04:00,1.6,1.64,2.35,Earnings
2024-08-01 16:30:00-04:00,1.35,1.4,3.99,Earnings
2024-05-02 16:31:00-04:00,1.5,1.53,1.97,Earnings
2024-02-01 16:00:00-05:00,2.1,2.18,3.9,Earnings
2023-11-02 16:30:00-04:00,1.39,1.46,4.92,Earnings
2023-08-03 16:30:00-04:00,1.19,1.26,5.49,Earnings
2023-05-04 16:30:00-04:00,1.43,1.52,6.03,Earnings
2023-02-02 16:30:00-05:00,1.94,1.88,-2.88,Earnings
2022-10-27 16:30:00-04:00,1.27,1.29,1.55,Earnings
2022-07-28 16:30:00-04:00,1.16,1.2,3.25,Earnings
2022-04-28 16:30:00-04:00,1.43,1.52,6.44,Earnings
2022-01-27 16:30:00-05:00,1.89,2.1,11.17,Earnings
2021-10-28 16:30:00-04:00,1.24,1.24,0.3,Earnings
2021-07-27 16:30:00-04:00,1.01,1.3,29.12,Earnings
2021-04-28 16:30:00-04:00,0.99,1.4,41.89,Earnings
2021-01-27 16:31:00-05:00,1.41,1.68,19.02,Earnings
2020-10-29 16:32:00-04:00,0.7,0.73,4.25,Earnings
2020-07-30 16:33:00-04:00,0.51,0.65,26.25,Earnings
2020-04-30 16:30:00-04:00,0.57,0.64,12.78,Earnings
2020-01-28 16:30:00-05:00,1.14,1.25,9.73,Earnings
2019-10-30 16:30:00-04:00,0.71,0.76,6.71,Earnings
2019-07-30 16:31:00-04:00,0.52,0.55,3.9,Earnings
2019-04-30 16:30:00-04:00,0.59,0.62,4.18,Earnings
2019-01-29 16:30:00-05:00,1.04,1.05,0.31,Earnings
2018-11-01 16:30:00-04:00,0.7,0.73,4.56,Earnings
2018-07-31 16:30:00-04:00,0.55,0.59,7.27,Earnings
2018-05-01 16:30:00-04:00,0.67,0.68,2.14,Earnings
2018-02-01 16:30:00-05:00,0.96,0.97,0.87,Earnings
2017-11-02 16:30:00-04:00,0.47,0.52,10.85,Earnings
2017-08-01 16:30:00-04:00,0.39,0.42,6.27,Earnings
2017-05-02 16:30:00-04:00,0.5,0.53,3.97,Earnings
2017-01-31 16:30:00-05:00,0.8,0.84,4.55,Earnings
2016-10-25 16:30:00-04:00,0.41,0.42,0.84,Earnings
2016-07-26 16:30:00-04:00,0.35,0.36,2.6,Earnings
2016-04-26 16:30:00-04:00,0.5,0.48,-4.89,Earnings
2016-01-26 16:28:00-05:00,0.81,0.82,1.63,Earnings
2015-10-27 16:30:00-04:00,0.47,0.49,4.26,Earnings
