,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL250926C00110000,2025-09-08 14:24:23+00:00,110.0,129.6,123.75,124.8,0.0,0.0,1.0,6,1.755860595703125,True,REGULAR,USD
1,AAPL250926C00120000,2025-08-29 19:01:02+00:00,120.0,112.56,113.75,114.85,0.0,0.0,1.0,6,1.5937520312499998,True,REGULAR,USD
2,AAPL250926C00125000,2025-08-29 19:10:04+00:00,125.0,108.08,108.8,110.35,0.0,0.0,3.0,7,1.69140779296875,True,REGULAR,USD
3,AAPL250926C00130000,2025-09-04 19:50:00+00:00,130.0,109.45,103.8,104.85,0.0,0.0,1.0,4,1.439455927734375,True,REGULAR,USD
4,AAPL250926C00135000,2025-08-21 16:29:07+00:00,135.0,90.51,98.8,99.85,0.0,0.0,4.0,4,1.3564485302734375,True,REGULAR,USD
5,AAPL250926C00140000,2025-09-11 17:42:33+00:00,140.0,90.04,93.9,94.85,0.0,0.0,3.0,14,1.3095737646484373,True,REGULAR,USD
6,AAPL250926C00145000,2025-08-21 16:29:07+00:00,145.0,80.61,88.95,89.8,0.0,0.0,4.0,5,1.23047259765625,True,REGULAR,USD
7,AAPL250926C00150000,2025-09-09 14:33:52+00:00,150.0,86.52,84.05,85.2,0.0,0.0,1.0,7,1.2705114599609373,True,REGULAR,USD
8,AAPL250926C00155000,2025-09-11 16:17:40+00:00,155.0,73.86,79.05,79.65,0.0,0.0,1.0,2,1.0634812451171878,True,REGULAR,USD
9,AAPL250926C00160000,2025-09-12 19:26:52+00:00,160.0,74.22,74.05,74.7,5.4000015,7.846559,1.0,4,1.0039112304687499,True,REGULAR,USD
10,AAPL250926C00165000,2025-09-12 19:26:52+00:00,165.0,69.08,69.1,69.7,-5.209999,-7.013056,1.0,3,0.945313046875,True,REGULAR,USD
11,AAPL250926C00170000,2025-09-12 19:26:52+00:00,170.0,64.49,64.1,64.7,5.0899963,8.569017,1.0,3,0.87500125,True,REGULAR,USD
12,AAPL250926C00175000,2025-09-12 19:26:52+00:00,175.0,59.36,59.05,60.0,3.9099998,7.0513973,2.0,10,0.852540537109375,True,REGULAR,USD
13,AAPL250926C00180000,2025-09-11 13:36:39+00:00,180.0,48.21,54.1,54.75,0.0,0.0,1.0,13,0.7480493945312501,True,REGULAR,USD
14,AAPL250926C00185000,2025-09-11 13:37:26+00:00,185.0,43.3,48.25,49.75,0.0,0.0,2.0,28,0.7719749365234375,True,REGULAR,USD
15,AAPL250926C00190000,2025-09-10 14:51:04+00:00,190.0,38.1,44.15,44.75,0.0,0.0,3.0,48,0.6235389208984375,True,REGULAR,USD
16,AAPL250926C00195000,2025-09-12 19:21:12+00:00,195.0,39.33,38.35,40.0,4.3100014,12.307257,100.0,157,0.6757844921875001,True,REGULAR,USD
17,AAPL250926C00200000,2025-09-12 18:47:54+00:00,200.0,34.37,34.35,34.85,4.619999,15.5294075,16.0,122,0.5288133056640626,True,REGULAR,USD
18,AAPL250926C00205000,2025-09-12 17:36:25+00:00,205.0,28.9,29.4,29.9,3.5100002,13.824342,19.0,63,0.5127001855468749,True,REGULAR,USD
19,AAPL250926C00210000,2025-09-12 19:35:33+00:00,210.0,24.4,24.4,24.7,3.3999996,16.190474,76.0,778,0.4106504248046875,True,REGULAR,USD
20,AAPL250926C00215000,2025-09-12 19:33:25+00:00,215.0,19.78,19.6,19.9,3.4899998,21.424185,121.0,746,0.3676821044921875,True,REGULAR,USD
21,AAPL250926C00220000,2025-09-12 19:50:54+00:00,220.0,15.15,14.6,15.1,3.3499994,28.389826,431.0,1179,0.31445998046874996,True,REGULAR,USD
22,AAPL250926C00225000,2025-09-12 19:55:18+00:00,225.0,10.55,10.5,10.65,3.1000004,41.610744,490.0,1873,0.2786937365722656,True,REGULAR,USD
23,AAPL250926C00230000,2025-09-12 19:59:44+00:00,230.0,6.75,6.7,6.8,2.4,55.17242,5414.0,13012,0.2561109545898438,True,REGULAR,USD
24,AAPL250926C00235000,2025-09-12 19:59:59+00:00,235.0,3.86,3.75,3.85,1.7099998,79.534874,12988.0,5543,0.24341576904296874,False,REGULAR,USD
25,AAPL250926C00240000,2025-09-12 19:59:58+00:00,240.0,1.89,1.87,1.9,0.9,90.90909,16196.0,11238,0.23633576171874998,False,REGULAR,USD
26,AAPL250926C00245000,2025-09-12 19:59:58+00:00,245.0,0.86,0.85,0.91,0.4,86.95652,4530.0,9386,0.2417068017578125,False,REGULAR,USD
27,AAPL250926C00250000,2025-09-12 19:59:25+00:00,250.0,0.4,0.39,0.4,0.16000001,66.66667,4774.0,7958,0.24658956542968752,False,REGULAR,USD
28,AAPL250926C00255000,2025-09-12 19:59:55+00:00,255.0,0.2,0.19,0.2,0.07000001,53.84616,649.0,6509,0.260749580078125,False,REGULAR,USD
29,AAPL250926C00260000,2025-09-12 19:58:56+00:00,260.0,0.11,0.1,0.11,0.019999996,22.222216,1423.0,3789,0.278327529296875,False,REGULAR,USD
30,AAPL250926C00265000,2025-09-12 17:21:54+00:00,265.0,0.06,0.06,0.07,0.0,0.0,150.0,2594,0.299811689453125,False,REGULAR,USD
31,AAPL250926C00270000,2025-09-12 17:55:17+00:00,270.0,0.05,0.04,0.05,0.0,0.0,91.0,1121,0.3242255078124999,False,REGULAR,USD
32,AAPL250926C00275000,2025-09-12 19:13:46+00:00,275.0,0.03,0.03,0.04,0.01,50.0,43.0,671,0.34961587890624996,False,REGULAR,USD
33,AAPL250926C00280000,2025-09-12 18:39:31+00:00,280.0,0.02,0.01,0.03,0.0,0.0,225.0,538,0.3711000390625,False,REGULAR,USD
34,AAPL250926C00285000,2025-09-12 19:09:55+00:00,285.0,0.02,0.01,0.02,0.0,0.0,12.0,634,0.38672488281249995,False,REGULAR,USD
35,AAPL250926C00290000,2025-09-12 18:52:12+00:00,290.0,0.01,0.01,0.02,0.0,0.0,63.0,234,0.41797457031249996,False,REGULAR,USD
36,AAPL250926C00295000,2025-09-12 15:54:35+00:00,295.0,0.01,0.0,0.01,0.0,0.0,10.0,585,0.414068359375,False,REGULAR,USD
37,AAPL250926C00300000,2025-09-10 18:19:12+00:00,300.0,0.01,0.0,0.02,0.0,0.0,2.0,109,0.476567734375,False,REGULAR,USD
38,AAPL250926C00305000,2025-09-09 14:01:23+00:00,305.0,0.03,0.0,0.22,0.0,0.0,1.0,120,0.6074258007812501,False,REGULAR,USD
39,AAPL250926C00310000,2025-09-12 16:37:58+00:00,310.0,0.02,0.0,0.02,0.01,100.0,1.0,33,0.500005,False,REGULAR,USD
40,AAPL250926C00315000,2025-09-10 16:56:38+00:00,315.0,0.01,0.0,0.01,0.0,0.0,4.0,13,0.500005,False,REGULAR,USD
41,AAPL250926C00320000,2025-08-14 13:42:47+00:00,320.0,0.03,0.0,0.01,0.0,0.0,,55,0.51562984375,False,REGULAR,USD
42,AAPL250926C00325000,2025-09-12 19:22:36+00:00,325.0,0.01,0.0,0.02,0.0,0.0,4.0,13,0.570316796875,False,REGULAR,USD
