,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL250926P00110000,2025-08-26 19:39:09+00:00,110.0,0.01,0.0,0.21,0.0,0.0,10.0,42,1.6171894140625,False,REGULAR,USD
1,AAPL250926P00125000,2025-08-19 15:40:12+00:00,125.0,0.04,0.0,0.1,0.0,0.0,2.0,1483,1.25390998046875,False,REGULAR,USD
2,AAPL250926P00130000,2025-09-03 19:29:43+00:00,130.0,0.01,0.0,0.01,0.0,0.0,188.0,209,0.9687503125,False,REGULAR,USD
3,AAPL250926P00135000,2025-09-05 17:23:59+00:00,135.0,0.01,0.0,0.42,0.0,0.0,40.0,186,1.3203158984374999,False,REGULAR,USD
4,AAPL250926P00140000,2025-09-09 19:43:03+00:00,140.0,0.01,0.0,0.01,0.0,0.0,6.0,184,0.8437515624999999,False,REGULAR,USD
5,AAPL250926P00145000,2025-09-10 19:57:09+00:00,145.0,0.01,0.0,0.01,0.0,0.0,100.0,101,0.7812521875,False,REGULAR,USD
6,AAPL250926P00150000,2025-09-10 19:25:37+00:00,150.0,0.01,0.0,0.01,0.0,0.0,53.0,65,0.73437765625,False,REGULAR,USD
7,AAPL250926P00155000,2025-09-12 17:10:17+00:00,155.0,0.01,0.0,0.1,0.0,0.0,100.0,18,0.851563984375,False,REGULAR,USD
8,AAPL250926P00160000,2025-09-12 15:57:02+00:00,160.0,0.02,0.0,0.03,0.01,100.0,5.0,57,0.70312796875,False,REGULAR,USD
9,AAPL250926P00165000,2025-09-12 15:33:58+00:00,165.0,0.02,0.0,0.03,0.01,100.0,1.0,102,0.648441015625,False,REGULAR,USD
10,AAPL250926P00170000,2025-09-12 15:08:42+00:00,170.0,0.02,0.01,0.03,0.0,0.0,16.0,124,0.6132851171875001,False,REGULAR,USD
11,AAPL250926P00175000,2025-09-12 18:16:32+00:00,175.0,0.01,0.01,0.03,-0.01,-50.0,24.0,294,0.5625043750000001,False,REGULAR,USD
12,AAPL250926P00180000,2025-09-12 19:03:12+00:00,180.0,0.02,0.02,0.03,-0.030000001,-60.000004,47.0,668,0.523442265625,False,REGULAR,USD
13,AAPL250926P00185000,2025-09-12 16:37:53+00:00,185.0,0.04,0.03,0.04,-0.010000002,-20.000004,12.0,202,0.500005,False,REGULAR,USD
