Actual_Delta,Predicted_Delta,Absolute_Error
0.96887,0.99989176,0.03102175796508788
0.97366,0.9994493,0.025789312686920196
0.9508,0.99940956,0.048609556388855
0.96095,0.97952056,0.018570559310913115
0.95009,0.96834487,0.01825486722946168
0.95569,0.8917932,0.06389680856704716
0.92845,0.8774031,0.051046919536590574
0.90446,0.8102902,0.09416978260040287
0.85518,0.7802111,0.07496890895843511
0.80733,0.66807336,0.13925664384841918
0.72836,0.6397705,0.08858949218750001
0.64588,0.5205378,0.125342206363678
0.53986,0.49435726,0.04550274191856385
0.43208,0.43631092,0.004230917139053325
0.31593,0.31639227,0.0004622727108001823
0.22165,0.25092915,0.029279147005081163
0.1466,0.22279203,0.07619202938079833
0.09132,0.1700687,0.07874869614124298
0.06883,0.1821398,0.1133097989988327
0.041,0.14178966,0.10078965985774993
0.03243,0.15916364,0.1267336389493942
0.01885,0.116714455,0.0978644551873207
0.01051,0.099006586,0.08849658577680587
0.95078,0.99953187,0.048751865119934124
0.94996,0.9982621,0.04830210737228391
0.9571,0.9903016,0.03320160903930669
0.96808,0.92444,0.04363997371673589
0.93122,0.9005811,0.0306388785552979
0.90389,0.8707689,0.03312109531402585
0.86976,0.8711793,0.001419282665252708
0.84315,0.80058295,0.04256705465316768
0.80935,0.7202741,0.08907590923309328
0.75115,0.7042196,0.04693042030334471
0.68542,0.6537357,0.03168430273056033
0.62093,0.5413607,0.07956932371139525
0.54075,0.5354557,0.00529429626464839
0.45975,0.44942153,0.010328474998474113
0.38123,0.41361204,0.03238203789710997
0.30807,0.33970958,0.031639579944610585
0.24249,0.31813917,0.07564916563987731
0.18586,0.24532713,0.05946712996006012
0.1387,0.2206593,0.0819593006849289
0.10077,0.17632541,0.07555541060447693
0.07129,0.1554136,0.08412359782218932
0.04912,0.11755415,0.06843415052175522
0.04423,0.120494924,0.07626492448568345
0.02054,0.0838848,0.06334479799032211
0.01344,0.07221648,0.05877648097038269
0.96233,0.9999809,0.037650926513671856
0.9786,0.9989477,0.020347679996490453
0.9756,0.97710127,0.0015012663841247331
0.95384,0.9710793,0.01723928991317747
0.93068,0.9441713,0.01349130947113042
0.92129,0.9020956,0.019194384136200004
0.89636,0.9065798,0.01021979249954219
0.88081,0.84133136,0.03947863727569578
0.84614,0.84206975,0.004070254936218265
0.82103,0.75918216,0.061847844867706336
0.7742,0.7425331,0.031666912269592284
0.72177,0.708753,0.013017010231018089
0.6747,0.60749286,0.06720713586807248
0.61009,0.557762,0.05232797321319582
0.54303,0.5433563,0.00032629940032957716
0.47139,0.4062906,0.06509940923690793
0.39992,0.3739337,0.02598629729270935
0.33236,0.3101043,0.022255689487457264
0.27047,0.2944531,0.023983114271163952
0.21549,0.22793444,0.012444435009956373
0.16806,0.21506344,0.04700343781948091
0.12831,0.16305307,0.034743065538406365
0.09591,0.15394047,0.058030469026565557
0.0702,0.1116672,0.041467200922966005
0.05032,0.095289126,0.044969126038551334
0.03472,0.086762324,0.05204232397556305
0.01724,0.052243218,0.03500321782588959
0.01283,0.044098955,0.031268954647779464
0.94248,0.9550248,0.012544778842926041
0.91818,0.91563946,0.0025405399131774864
0.88356,0.8593196,0.02424037271499635
0.83451,0.78957796,0.044932039031982396
0.75138,0.73024344,0.021136555557251024
0.66147,0.6078251,0.053644899578094485
0.54706,0.47472364,0.07233636289596557
0.42003,0.3861128,0.033917190818786636
0.30323,0.30187398,0.0013560180473327632
0.20554,0.22098057,0.015440569720268249
0.10927,0.13857414,0.029304138283729547
0.07819,0.1100653,0.031875296292305
0.04397,0.08235853,0.03838853165388107
0.03351,0.0652387,0.031728699316978456
0.01839,0.041473277,0.023083276913166046
0.01508,0.03749522,0.022415218217372895
0.92463,0.9489233,0.024293289775848437
0.81411,0.76402783,0.05008216606140137
0.73534,0.74673903,0.011399029884338385
0.65282,0.59435487,0.05846513206481929
0.5496,0.47710598,0.07249402484893797
0.43505,0.38336888,0.05168112044334411
0.32792,0.30809945,0.019820551319122304
0.21359,0.19777709,0.015812907543182375
0.138,0.14584853,0.007848527550697315
0.10419,0.12484364,0.02065364211559295
0.06447,0.087617114,0.023147114186286927
0.03807,0.060326707,0.022256706618070603
0.04239,0.06809705,0.025707047507762912
0.98673,0.9991887,0.012458721179962162
0.9892,0.9961474,0.006947394180297883
0.96352,0.99825495,0.034734954814910846
0.95529,0.9867622,0.0314722256278992
0.96956,0.9460061,0.023553880748748757
0.92763,0.9558485,0.02821851503372197
0.90744,0.93428636,0.026846355972290015
0.8673,0.91385424,0.046554241371154825
0.84643,0.85301775,0.006587747402191146
0.78553,0.794364,0.008833975524902393
0.72641,0.6980545,0.028355507526397705
0.64252,0.6683586,0.02583862398147585
0.55454,0.53435457,0.020185432472229037
0.45687,0.43753982,0.019330184097290037
0.34905,0.32347625,0.025573745059967068
0.25959,0.24760462,0.011985376563072192
0.18509,0.19361232,0.00852232221126556
0.12658,0.14121024,0.014630243105888369
0.08311,0.10231491,0.019204911782741543
0.05244,0.07125816,0.01881815749168396
0.04523,0.061206076,0.01597607629418373
0.02856,0.04003979,0.011479788931608201
0.01751,0.028823558,0.01131355824112892
0.01677,0.024296345,0.0075263451892137526
0.01048,0.017364131,0.006884131286740303
0.97316,0.9856695,0.012509493675231909
0.92175,0.9514151,0.02966512155532841
0.90639,0.9209279,0.014537882194519014
0.87302,0.92073536,0.04771535919189451
0.84763,0.85767967,0.01004966508865357
0.80087,0.8347245,0.033854485874176055
0.74775,0.79195017,0.044200166225433324
0.69929,0.7171021,0.017812110385894808
0.63308,0.6569083,0.023828273696899438
0.56422,0.6079633,0.043743323593139594
0.49052,0.48660776,0.0039122398090362664
0.4173,0.415401,0.0018989882946014447
0.34825,0.34008932,0.008160678863525395
0.28514,0.30472738,0.019587375507354732
0.20641,0.20130762,0.005102375421524058
0.15742,0.14933091,0.008089085979461674
0.11747,0.11941226,0.001942258267402644
0.08582,0.08974742,0.003927421443462378
0.06143,0.06730502,0.00587502098798752
0.05894,0.055619344,0.003320655884742736
0.04278,0.04120747,0.001572530000209807
0.03059,0.031300828,0.0007108278608322152
0.02157,0.023065722,0.0014957216161489498
0.015,0.017259309,0.0022593090683221823
0.01029,0.012938523,0.0026485227337479586
0.97863,0.99771345,0.019083446617126465
0.98381,0.9948827,0.011072702827453651
0.97859,0.98805165,0.009461652908325235
0.97544,0.98220086,0.006760860977172878
0.97181,0.9737988,0.0019888114356995112
0.95056,0.9731655,0.022605512084960977
0.94304,0.9610009,0.017960919342041026
0.91062,0.9292692,0.018649194602966324
0.88216,0.9154863,0.0333262761497497
0.84878,0.90019745,0.05141744634628298
0.82431,0.8562904,0.03198040002822877
0.7806,0.83969814,0.05909813585281376
0.74426,0.7598132,0.015553189506530729
0.68953,0.7180718,0.02854181835174563
0.63162,0.67059326,0.03897326171875004
0.57338,0.5873652,0.01398521005630493
0.5083,0.5067831,0.0015168722152709702
0.44436,0.46261495,0.01825495351791384
0.3831,0.37032872,0.012771275615692135
0.30714,0.29301444,0.014125563039779687
0.25179,0.2384345,0.013355506458282485
0.20311,0.18925829,0.01385170768260957
0.16128,0.15334287,0.007937127141952521
0.12613,0.12280378,0.003326222543716423
0.0972,0.09906743,0.001867427217960363
0.07385,0.072425835,0.001424165165424346
0.05534,0.05410187,0.001238130536079407
0.04094,0.04141253,0.0004725286042690305
0.04316,0.03596824,0.007191759649515149
0.03263,0.028827168,0.003802831952571868
0.01814,0.016666587,0.0014734125578403472
0.97486,0.99907315,0.024213147773742727
0.98396,0.99594563,0.011985632457733209
0.98407,0.99140733,0.007337334804534912
0.98016,0.97938114,0.000778855953216584
0.95959,0.9688102,0.00922020069122309
0.94489,0.96303433,0.01814433179855346
0.92684,0.9591696,0.03232962623596192
0.91726,0.93822384,0.02096383880615238
0.89268,0.92355543,0.03087543375015256
0.86406,0.90747833,0.0434183325195312
0.84521,0.88617915,0.04096914915084837
0.8082,0.8519955,0.04379552774429318
0.7673,0.8264877,0.05918772001266481
0.73397,0.754312,0.020341978816986073
0.68428,0.71592224,0.03164223644256592
0.63224,0.66981393,0.03757393098831174
0.58039,0.6035044,0.023114419326782265
0.52224,0.5319988,0.009758813152313195
0.46484,0.47760645,0.012766445550918604
0.39634,0.3806554,0.015684592094421412
0.3396,0.32779077,0.011809233045578016
0.28729,0.27002144,0.017268561401367177
0.24003,0.22303626,0.01699374058723449
0.19813,0.17934431,0.018785688643455506
0.16163,0.14858046,0.013049538259506221
0.13036,0.118745394,0.011614605948925022
0.10399,0.09345677,0.01053323250055313
0.08208,0.07220738,0.00987262363910675
0.06413,0.057841484,0.006288516496419913
0.04962,0.04577649,0.003843509877920148
0.03804,0.038021818,1.818219661712389e-05
0.04202,0.032293428,0.009726572264432909
0.03297,0.025493884,0.007476115540862083
0.01626,0.018337319,0.0020773186737298964
0.01989,0.01595451,0.003935490622520448
0.01171,0.010276994,0.0014330062633752822
0.96292,0.9789844,0.01606441553115845
0.92177,0.94227904,0.020509040813446067
0.90021,0.929271,0.029060982742309616
0.87534,0.913715,0.038375004920959466
0.86075,0.8818693,0.021119316101074204
0.82913,0.86900187,0.03987186538696286
0.79419,0.83222425,0.03803424983978276
0.75631,0.8034015,0.04709152978897091
0.72596,0.75538087,0.029420868911743114
0.68104,0.69572586,0.014685858211517355
