strike,expiration,historical_delta,current_delta,delta_change,delta_change_pct,historical_volume,current_volume,historical_oi,current_oi,days_to_expiry
245.0,2025-08-22,-1.0,-1.0,0.0,0.0,13,13,144,144,2
257.5,2025-08-22,-0.9958,-0.99581,-9.99999999995449e-06,-0.0010042177143959117,3,3,0,0,2
247.5,2025-08-22,-0.9951,-0.9951,0.0,0.0,4,4,19,19,2
320.0,2025-08-22,-0.9924,-0.99239,9.99999999995449e-06,0.0010076582023331813,2,2,0,0,2
325.0,2025-08-22,-0.9924,-0.99236,3.999999999992898e-05,0.0040306328093439115,2,2,0,0,2
252.5,2025-08-22,-0.9748,-0.97482,-2.0000000000020002e-05,-0.002051702913420189,190,190,8,8,2
250.0,2025-08-22,-0.9721,-0.97214,-4.0000000000040004e-05,-0.004114803003810308,295,295,113,113,2
290.0,2025-08-29,-0.968,-0.96796,3.999999999992898e-05,0.004132231404951342,3,3,0,0,9
275.0,2025-08-29,-0.9679,-0.9679,0.0,0.0,2,2,0,0,9
242.5,2025-08-22,-0.9538,-0.95383,-2.999999999997449e-05,-0.0031453134829077896,27,27,117,117,2
310.0,2025-09-19,-0.9306,-0.93057,2.999999999997449e-05,0.0032237266279792065,2,2,0,0,30
285.0,2025-09-19,-0.9223,-0.92234,-4.0000000000040004e-05,-0.004336983627891142,1,1,0,0,30
250.0,2025-09-05,-0.9106,-0.91057,2.999999999997449e-05,0.0032945310784070385,4,4,28,28,16
260.0,2025-09-26,-0.9088,-0.90881,-9.99999999995449e-06,-0.0011003521126710485,1,1,81,81,37
240.0,2025-08-22,-0.9068,-0.90677,3.0000000000085514e-05,0.003308337009272774,944,944,7034,7034,2
245.0,2025-08-29,-0.9022,-0.90219,9.99999999995449e-06,0.0011084016847655166,7,7,143,143,9
260.0,2025-09-19,-0.9001,-0.90006,4.0000000000040004e-05,0.004443950672151983,104,104,46,46,30
305.0,2025-10-17,-0.8983,-0.8983,0.0,0.0,1,1,0,0,58
300.0,2025-10-17,-0.8936,-0.89361,-1.0000000000065512e-05,-0.0011190689346537055,1,1,5,5,58
275.0,2025-10-17,-0.8808,-0.88077,2.999999999997449e-05,0.003405994550405823,2,2,0,0,58
242.5,2025-08-29,-0.8558,-0.85575,4.999999999999449e-05,0.005842486562280263,7,7,226,226,9
250.0,2025-09-19,-0.8546,-0.85461,-9.99999999995449e-06,-0.0011701380762876774,79,79,434,434,30
260.0,2025-10-17,-0.8492,-0.84917,2.999999999997449e-05,0.0035327366933554515,8,8,74,74,58
245.0,2025-09-12,-0.835,-0.83496,3.999999999992898e-05,0.004790419161668142,36,36,72,72,23
237.5,2025-08-22,-0.8303,-0.83029,1.0000000000065512e-05,0.0012043839576135747,530,530,860,860,2
250.0,2025-09-26,-0.8262,-0.82619,1.0000000000065512e-05,0.0012103606874927996,10,10,133,133,37
255.0,2025-10-17,-0.8219,-0.82193,-3.0000000000085514e-05,-0.0036500790850572474,115,115,351,351,58
265.0,2025-11-21,-0.8191,-0.81911,-9.99999999995449e-06,-0.001220852154798497,1,1,2,2,93
247.5,2025-09-19,-0.819,-0.81901,-1.0000000000065512e-05,-0.00122100122100922,3,3,0,0,30
242.5,2025-09-05,-0.8094,-0.80935,4.999999999999449e-05,0.006177415369408759,39,39,0,0,16
240.0,2025-08-29,-0.7957,-0.79569,9.99999999995449e-06,0.0012567550584333907,98,98,2632,2632,9
245.0,2025-09-19,-0.778,-0.77796,4.0000000000040004e-05,0.00514138817481234,66,66,3874,3874,30
260.0,2025-11-21,-0.7778,-0.77784,-3.999999999992898e-05,-0.0051427102082706325,265,265,223,223,93
265.0,2025-12-19,-0.777,-0.77702,-2.0000000000020002e-05,-0.0025740025740051482,95,95,264,264,121
275.0,2026-01-16,-0.77,-0.76995,4.999999999999449e-05,0.0064935064935057775,4,4,141,141,149
250.0,2025-10-17,-0.7625,-0.7625,0.0,0.0,515,515,629,629,58
270.0,2026-01-16,-0.758,-0.75805,-4.999999999999449e-05,-0.0065963060686008565,2,2,202,202,149
255.0,2025-11-21,-0.7507,-0.75066,4.0000000000040004e-05,0.005328360197154656,6,6,150,150,93
240.0,2025-09-05,-0.7506,-0.75061,-9.99999999995449e-06,-0.0013322675193118158,98,98,221,221,16
260.0,2025-12-19,-0.7366,-0.73661,-9.99999999995449e-06,-0.0013575889220682174,1,1,529,529,121
242.5,2025-09-19,-0.7316,-0.73156,4.0000000000040004e-05,0.005467468562061236,2,2,0,0,30
237.5,2025-08-29,-0.722,-0.72198,2.0000000000020002e-05,0.002770083102495845,20,20,214,214,9
235.0,2025-08-22,-0.7209,-0.72092,-2.0000000000020002e-05,-0.002774309890417534,2352,2352,1358,1358,2
245.0,2025-10-17,-0.7108,-0.71076,4.0000000000040004e-05,0.005627462014637029,221,221,373,373,58
240.0,2025-09-12,-0.7095,-0.70947,2.999999999997449e-05,0.0042283298097215635,6,6,128,128,23
237.5,2025-09-05,-0.6827,-0.68269,9.99999999995449e-06,0.0014647722279118925,8,8,0,0,16
240.0,2025-09-19,-0.6802,-0.68018,2.0000000000020002e-05,0.002940311673040282,97,97,2487,2487,30
250.0,2025-12-19,-0.6588,-0.65879,1.0000000000065512e-05,0.0015179113539868718,10,10,3238,3238,121
240.0,2025-09-26,-0.6578,-0.65777,3.0000000000085514e-05,0.004560656734582778,8,8,121,121,37
237.5,2025-09-19,-0.6377,-0.63765,4.999999999999449e-05,0.007840677434529479,28,28,0,0,30
235.0,2025-08-29,-0.6363,-0.63633,-2.999999999997449e-05,-0.004714757190000706,279,279,1439,1439,9
245.0,2025-11-21,-0.6338,-0.63383,-2.999999999997449e-05,-0.004733354370459844,444,444,221,221,93
255.0,2026-02-20,-0.6314,-0.63143,-3.0000000000085514e-05,-0.004751346214774393,1,1,17,17,184
250.0,2026-01-16,-0.6305,-0.63054,-4.0000000000040004e-05,-0.006344171292631246,30,30,3573,3573,149
265.0,2026-06-18,-0.6267,-0.62671,-9.99999999995449e-06,-0.0015956598053222418,1,1,222,222,302
240.0,2025-10-17,-0.6251,-0.62511,-1.0000000000065512e-05,-0.001599744040963928,265,265,1179,1179,58
235.0,2025-09-05,-0.6072,-0.60716,3.999999999992898e-05,0.006587615283255761,99,99,512,512,16
245.0,2025-12-19,-0.6028,-0.60283,-2.999999999997449e-05,-0.004976775049763519,10,10,681,681,121
270.0,2026-09-18,-0.5957,-0.59566,4.0000000000040004e-05,0.006714789323491691,2,2,104,104,394
255.0,2026-04-17,-0.5941,-0.59413,-3.0000000000085514e-05,-0.005049654940260144,1,1,0,0,240
232.5,2025-08-22,-0.5839,-0.5839,0.0,0.0,5524,5524,3679,3679,2
235.0,2025-09-12,-0.5826,-0.58263,-2.999999999997449e-05,-0.005149330587019308,157,157,235,235,23
280.0,2027-01-15,-0.5811,-0.5811,0.0,0.0,56,56,264,264,513
245.0,2026-01-16,-0.579,-0.57897,2.999999999997449e-05,0.005181347150254662,10,10,1887,1887,149
250.0,2026-03-20,-0.5719,-0.57191,-1.0000000000065512e-05,-0.0017485574401233629,30,30,661,661,212
240.0,2025-11-21,-0.5673,-0.56733,-2.999999999997449e-05,-0.0052882072977215745,322,322,319,319,93
235.0,2025-09-19,-0.5655,-0.56546,4.0000000000040004e-05,0.007073386383738285,319,319,4725,4725,30
270.0,2026-12-18,-0.5614,-0.56145,-4.999999999999449e-05,-0.008906305664409421,10,10,1082,1082,485
235.0,2025-09-26,-0.5524,-0.55235,4.999999999999449e-05,0.009051412020274166,133,133,75,75,37
240.0,2025-12-19,-0.5434,-0.54345,-4.999999999999449e-05,-0.009201324990797661,117,117,3681,3681,121
250.0,2026-05-15,-0.5431,-0.54312,-2.0000000000020002e-05,-0.0036825630638961516,1,1,57,57,268
232.5,2025-08-29,-0.5422,-0.54221,-9.99999999995449e-06,-0.0018443378826917167,1574,1574,1119,1119,9
250.0,2026-06-18,-0.5286,-0.52857,2.999999999997449e-05,0.005675368898973608,1,1,1927,1927,302
